commenter,comment_text,likes_on_comment,bot_score,bot_decision,sentiment
asma.ounifi,💯,10,0.0303,likely authentic,neutral
lamia_issaouii,👏👏👏,2,0.041,likely authentic,neutral
vitucciax,👏👏👏👏👏,7,0.2841,likely authentic,neutral
abirbradai,😢😢,2,0.0396,likely authentic,positive
assalaarafaa,"Words that touch the heart, remind us of the importance of staying sensitive and open to our pain and the pain of others 😔🤍",1,0.0,likely authentic,positive
espero_tm,LOUDER ❤️,1,0.0084,likely authentic,neutral
almaa__abiidii,Video El tletha wouhouch Eli katlou El kalboun El saghroun as well 😭🤍🕊️🥹,4,0.0,likely authentic,positive
ahmedjnayeh,كلام هذا يلزم يقولوه مؤثرين عالميين انت ركز علي روحك و حاول توصل,53,0.0,likely authentic,neutral
rafidallo,,70,0.0014,likely authentic,neutral
2ddne,end nicki minaj again for me queen,0,0.0011,likely authentic,neutral
taba.aida,"Very well said, anger is natural human reaction to what is not natural.
Really happy to see such a post coming from a public figure like yours.
Media been always trying to re-shape what’s is ok by destroying human sensitivity little by little.
Please take care of yourself and know that fame is not only dark, it can do global transformations.
Yaatik sahha w rabbi yehmik",4,0.0,likely authentic,positive
estrella_khadi,I was soo mad that I had to uninstall instagram and stop seeing any bad news because I can't bear any more,31,0.0,likely authentic,positive
bej.sameh,"Plutôt, WHY ARENT U",1,0.0036,likely authentic,neutral
n6ruz,So Kurdistan and Iran don’t matter? Funny how you always look away when it’s their suffering.,0,0.0,likely authentic,neutral
kat.barbaros,This is exactly what they wanna do...numb us with a deluge of bad things. Happy to b angry! 😾,1,0.0,likely authentic,negative
elkhotifa__,❤️❤️❤️❤️,4,0.0301,likely authentic,neutral
sabrinafti,🩵🩵🩵🩵🩵,4,0.364,uncertain,neutral
rawia_ben_afia,تجي لتونس شهرين في العام و تنظر علينا احنا اللي عايشين فيها، ايجا استقر و عيش اللي عايشو اغلبية الشعبو بعد تكلم,150,0.0,likely authentic,neutral
manissa_lobna_officiel,Mon amouuuuurrr 😍,9,0.0613,likely authentic,positive
skander_karwi,@made.in.ifriqiya ❤️❤️❤️,1,0.0026,likely authentic,neutral
ooupsy123,هزهم لدارك مدام عايشة برا اعطيهم داركم يسكنو فيها,14,0.0002,likely authentic,neutral
rayenbrari,"Bhima barcha ken matfarra9ch binet el racism w el nationalism , educate yourself",36,0.0,likely authentic,negative
ndmgdch,لا لبيع الوطن لمن لا هوية له ، لا للتطبيع مع التوطين.,55,0.0,likely authentic,negative
soumasamiah,لا للعنصرية اي اما لا للاستيطان و التجنيس احنا لا اوروبا و لا امريكا لا احتلينا بلدان و لا فكينا ثروات و لذلك ما نجموش ندفعوا فاتورة ناس اخرى ..تونس للتوانسة فقط,78,0.0,likely authentic,positive
samarsaidii,و لا للإستيطان زادة ، sinon هابط اسكن في العامرة و إلا جبنيانة حاول حتى تكري دار غادي (كان نجمت) و مبعد اتكلّم و عبّر ….,4,0.0,likely authentic,negative
bizertine_beauty,🌶️🌶️🫀,0,0.0139,likely authentic,neutral
ooupsy123,وحدة جاية تنظر علينا بزوز كلمة قلك مش مرقة بين وطنية و عنصرية,6,0.0001,likely authentic,negative
kou_kou7,عزه عزه اخطانا من الشعارات الرنانه ، نعيش في فرنسا و شفناهم اش ينجموا يعملوا محتلين حوم حوم وحدهم فاكينهم وحتى الحاكم موش منجمهم، و ما روحوش بيهم خاطر بلادهم تبنات بخيراتهم و خيرات بلادنا و لافريك، اما في تونس والله يحتلونا والمشكل علاش الدوله ساكته ، اش كلف العنصريه و اللون، الي عندو اقامه و نضيف يخدم على روحو، الباقي يكثروا في الصغار ناس تخزر لعشره سنين لقدام والله حتى الجيش ولا ينجمهم,6,0.0,likely authentic,negative
hadjamornarimenn,فما فرق مابين العنصرية و الى صاير في تونس تواا !!! لذلك يلزم الدولة تلقى حل كيما في الاوروب و البلدان الاخرى يعملو مع المهاجرين .. ننصحك برى اهبط لتونس و اعمل دورة على سقيك في العاصمة ،صفاقس وسوسة .. وربي يحمي تونسنا المزيانة ❤️ومرحبا بكل من يحترم بلادنا و يحترمنا احنا 🙌,6,0.0,likely authentic,positive
sihem.sola,لا للعنصرية أكيد .. أما تونس لتوانسه و تونسه يلي يجيها يلزم يحترم قانونها ولازم ما يتعداش على ناسها . يا مدام يضهورلي ما فيبلكش يلي هوما  وصلو هجموا على الناس في ديارهم و فكولهم أراضيهم و عملو دوله داخل الدوله ( سرقه . قتل . دعاره . ...) فا عيش الزين خليك في مسلسلاتك و مهرجاناتك و أسكت,25,0.0,likely authentic,positive
mohamed.dahech_officiel,🔥🔥,2,0.0549,likely authentic,positive
cherifouali,❤️❤️❤️,6,0.0248,likely authentic,neutral
fares.dehbi,😍😍,1,0.065,likely authentic,positive
sabrinafti,😍😍😍,1,0.1447,likely authentic,positive
elkhotifa__,❤❤️❤️❤️,6,0.0185,likely authentic,positive
manissa_lobna_officiel,😍😍😍😍😍,5,0.465,uncertain,positive
vnwvvr,😍😍😍,2,0.1129,likely authentic,positive
_elezzi_atef_,🖤✨,2,0.0396,likely authentic,positive
syrinakoubaa,🔥🔥🔥🔥🔥,0,0.3693,uncertain,positive
nouran.77777,🔥🔥❤️❤️❤️,1,0.0119,likely authentic,positive
nouran.77777,😍❤️,1,0.0159,likely authentic,positive
pascaltaldefran,Ti malla azza 🔥❤️,1,0.0045,likely authentic,neutral
azza_slimene_fan,She’s an ICON & she knows it 💅🏻👑,17,0.0008,likely authentic,neutral
sana_zenati,Ya claude ija chouf 😂🔥😍❤️,6,0.002,likely authentic,positive
mohamed_ben_ammar1,"Merci d’avoir partagé ma musique, j’apprécie sincèrement votre soutien. 🎶",8,0.0,likely authentic,positive
medmrad_official,Ba ba ba 🔥,617,0.0,likely authentic,positive
hendsabry,👏👏👏🔥🔥,265,0.0,likely authentic,positive
sabrinafti,😍😍😍😍😍,14,0.3477,likely authentic,positive
nadsoons,😍😍😍,47,0.0199,likely authentic,positive
juliachaouachi,❤️❤️❤️❤️❤️❤️,17,0.0051,likely authentic,neutral
donia_fekii,🤍🤍🤍,25,0.0161,likely authentic,neutral
foufou_le_fou_,😍😍😍😍😍😍,3,0.3084,likely authentic,positive
mariouma.fahmitch,Manissa 🥰🥰🥰🥰,6,0.0062,likely authentic,neutral
elkhotifa__,Welcome ❤❤,10,0.0114,likely authentic,positive
rayen.chalghoumi,Waw🔥🔥,10,0.0092,likely authentic,positive
fakherbeautytunis,🔥👏😍❤️,1,0.0136,likely authentic,positive
med_amin_hmissi,❤️❤️❤️,1,0.0302,likely authentic,neutral
nasseem_ziadia,Y’a mobd3a 🔥❤️,19,0.0028,likely authentic,positive
najlabenabdallah.official,Mahla zaynek ❤️❤️,29,0.0017,likely authentic,neutral
drrimkehila,❤️❤️❤️The best ever,2,0.0038,likely authentic,positive
marwa_agrebi_,Boumbaaaaa 🔥🔥,11,0.062,likely authentic,positive
elkhotifa__,❤️❤️,3,0.0437,likely authentic,neutral
fares.dehbi,😍😍😍,1,0.1235,likely authentic,positive
cherifa_naffeti,Bellissima 🔥,1,0.0068,likely authentic,positive
naimkhelifa,😍,1,0.0552,likely authentic,positive
fouadf_pvt,My baby🔥,2,0.0096,likely authentic,positive
zoheirrouageofficiellecompte,😍,2,0.0532,likely authentic,positive
mabrouka_fall,🫠🫠🫠🫠,1,0.0376,likely authentic,neutral
yadel9076,😍😍😍🔥🔥🔥❤️❤️❤️,1,0.0118,likely authentic,positive
chayma_mandhouj,❤️❤️😍😍,1,0.0143,likely authentic,positive
khadhraouioumaima_,Queen 🔥,1,0.0106,likely authentic,positive
besbes.ali.off,😍❤️❤️,1,0.0141,likely authentic,positive
meeed_muslim,😍😍,1,0.0614,likely authentic,positive
_mayou_m_privv,Gorgeous woman,1,0.0055,likely authentic,positive
abdellatifbelaid8,❤️❤️👍👍👍👍💞🌴🌴🌴🌴🌴🌴🌴🌷🌷🌺🌺❣️❣️❣️,1,0.0565,likely authentic,positive
oueslati117,🔥🔥🔥🔥🔥❤️,0,0.1628,likely authentic,positive
miss__imyy,First cmnt 😍❤️,4,0.0052,likely authentic,positive
riahi_jihenne,❤️❤️,1,0.0248,likely authentic,neutral
meriem_rafaii,Are you always this GORGEOUS ? YES YOU ARE,3,0.0005,likely authentic,positive
qq9gk,my love,1,0.0101,likely authentic,positive
_ghofrane_jebali_,clockkk ittt,3,0.0061,likely authentic,neutral
amarbuadraa,❤️,0,0.019,likely authentic,neutral
its_fashon_012,She's iconic 🔥,1,0.0058,likely authentic,positive
userwithtaste,Queen,1,0.0121,likely authentic,neutral
dalibenmohamed04,Marwa agrbi aarset mezeltlna ken enty 😢,17,0.0004,likely authentic,positive
rayen_ben_dhiab,Azza slimene aka the CEO of the feminism society,2,0.0003,likely authentic,neutral
sinda_kahloul,,1,0.0233,likely authentic,neutral
faten_bh10,,8,0.0176,likely authentic,neutral
ziedsm,Ew,1,0.0158,likely authentic,neutral
takw_a66,,5,0.0198,likely authentic,neutral
abdeddaiem.fares,The best ❤️,77,0.0003,likely authentic,positive
manissa_lobna_officiel,My loveeee 🫀🫀🫀🫀🫀🫀,10,0.0682,likely authentic,neutral
balkisdridi,We love a swiftie ❤️,25,0.0013,likely authentic,positive
mohamed.dahech_officiel,Malla azza 🔥❤️,5,0.006,likely authentic,positive
mohamed.dahech_officiel,❤️❤️❤️,4,0.032,likely authentic,neutral
tehewaseemtehe,The eldest daughter perfect choice ❤️,9,0.0006,likely authentic,positive
basma_boulatali,She is a Swiftie too 😍 @dr_lamys,7,0.001,likely authentic,positive
gh_ferdawes,Good azza❤️❤️❤️,0,0.0059,likely authentic,positive
rosiila187,Vraiment wooow 🔥👏,1,0.0046,likely authentic,positive
nour_ashami,🥺🥺💋💋,1,0.0398,likely authentic,positive
behi.hiba,😍😍😍,0,0.1213,likely authentic,positive
ych.5817325,❤️❤️🔥🙌,1,0.0127,likely authentic,positive
safaa_ben_abdallah,Bravo t'as excellé ❤️,0,0.0033,likely authentic,positive
amall_sellami,❤️✨👏🏻👏🏻👏🏻,0,0.0117,likely authentic,positive
happykiwi.exe,"We loved, hated, laughed at/with, sympathized with Zaineb, I personally had mixed feelings when it comes to her, very well played indeed ❤️❤️🔥",13,0.0,likely authentic,positive
werfaly_2011,❤️❤️❤️❤️❤️,0,0.013,likely authentic,neutral
sabeeh_ben_ali,❤️❤️❤️❤️❤️❤️,0,0.0101,likely authentic,neutral
abrahymalrab19,🌺🌺🌺🌺❤️🌺🌺🌺🌺🌺,0,0.1298,likely authentic,neutral
zaine_zizou,👏👏,0,0.0492,likely authentic,neutral
___na__der__,قدر و قيمة,0,0.008,likely authentic,positive
iway2kool,Ty  Azza,0,0.0096,likely authentic,neutral
nayrouzbensouissi,So Beautiful,0,0.0068,likely authentic,positive
uur__islem,😍😍😍,0,0.1213,likely authentic,positive
moniaroberts,Beautiful girl,0,0.0058,likely authentic,positive
lina568028,❤️🔥,0,0.0156,likely authentic,positive
gharbi8426,😍😍😍🔥🔥🔥🔥,0,0.0362,likely authentic,positive
elfaidinada,🔥🔥🔥,0,0.0744,likely authentic,positive
amoullady,تونس انتبه نفس الوان تبع  سنة هذه بعد بس تصميم يختلف الوان الفخامة والرقي والثراء,2,0.0,likely authentic,positive
10clliy,من احلا واجمل الاطلالات 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 ومشكله صوووووته ليخيل,1,0.0031,likely authentic,positive
medmrad_official,Smelah aalik ❤️,156,0.0,likely authentic,positive
ghada.chaka,❤️❤️❤️❤️,70,0.0011,likely authentic,neutral
elkhotifa__,❤️❤️❤️❤️,5,0.0289,likely authentic,neutral
elghanjacouture,Bravo ma chérie tu as excellé ❤️,3,0.0011,likely authentic,positive
azza_slimene_fan,Such an amazing performance !!You portrayed every emotion so beautifully 😍😍😍😍😍😍,8,0.0003,likely authentic,positive
jijislimene,👏👏👏🔥🔥,0,0.0425,likely authentic,positive
aicha.arfaoui,👏👏👏👏👏❤️❤️❤️,0,0.1217,likely authentic,neutral
manissa_lobna_officiel,Nhebek barchaaa 😍😍😍😍😍😍,12,0.0416,likely authentic,positive
hanenhaggui,💜💜🔥🔥🔥🔥,0,0.041,likely authentic,positive
mohamed.dahech_officiel,حبك هادي 🔥,38,0.0021,likely authentic,positive
mediha_belhadj_ahmed,Bravo Azza ❤️❤️,0,0.0057,likely authentic,positive
lylyyy_ch,Bentk ray bach to9tlni bel fedddaaaaaaa😂😂😂😂,15,0.0042,likely authentic,positive
ons_naffeti,🔥,1,0.0467,likely authentic,positive
wafa_amalbk3,😍😍👏👏👏👏👏,1,0.3154,likely authentic,positive
farah.hsein,❤️❤️❤️,1,0.0302,likely authentic,neutral
ashkhmiri,❤️,1,0.0183,likely authentic,neutral
mustafa_houas,Iconic 🙌❤️,3,0.0077,likely authentic,neutral
aminaminouch,🔥🔥🔥,2,0.0689,likely authentic,positive
obssesedwldr,Stunning like always🔥❤️,0,0.0029,likely authentic,positive
nour_el_hana21,A diva 🔥❤️❤️,4,0.0065,likely authentic,positive
hanenhaggui,😍😍😍💜💜💜🔥🔥🔥,0,0.0347,likely authentic,positive
zabriskys,🖤,0,0.0449,likely authentic,positive
yasmine_wesltie,😍😍,0,0.0638,likely authentic,positive
raymurad_,Walah ✨,0,0.0108,likely authentic,positive
manissa_lobna_officiel,Divaaaaa 😍,3,0.1295,likely authentic,positive
lm_mojito_di,Nhes l Charecter mtaaa l momthlee wl content creator Azza thb Spongboob😂 khtrheee cool w tel9a2eya w myhmheee f had nhb lmraaa tounseya nchaja3 lmantouj mtaa bledna tounes ala fekra ana jerbi nhb ngol ili mhlehe Azza khaterha Azza mmkn mtfhmonich normal tsir echikha athika khtr ama bch yji nhar W taaref Azza chay atheka🙌👏,2,0.0,likely authentic,positive
chayma_mandhouj,❤️❤️❤️❤️,1,0.0199,likely authentic,neutral
raya_bouallegue,🔥🔥🔥🔥,8,0.0374,likely authentic,positive
pinkwavesstore,❤️❤️❤️,3,0.0279,likely authentic,neutral
elkhotifa__,❤️❤️❤️❤️,1,0.0339,likely authentic,neutral
sallymhajjar,🔥🔥🔥,4,0.0639,likely authentic,positive
daellafd,STUNNING 🔥,5,0.0072,likely authentic,positive
linamakoul,Babe😭😭🤌🏽🤌🏽🤌🏽,12,0.0057,likely authentic,positive
tunisienne_au_quebec,😍😍😍😍,3,0.0409,likely authentic,positive
khalil.nouir,😍😍😍😍!!,4,0.012,likely authentic,positive
sarayyyyyysssss,😍😍,4,0.0547,likely authentic,positive
qmar_hossni,🔥🔥🔥❤️❤️❤️,2,0.0105,likely authentic,positive
azizi_nourelhoude_,😍😍😍😍😍🔥🔥🔥🔥,2,0.2953,likely authentic,positive
_belkistalbi,The iconic✨❤️,3,0.006,likely authentic,positive
yadel9076,😍😍😍🔥🔥🔥🔥🔥🔥❤️❤️❤️,2,0.1216,likely authentic,positive
takwatizaoui,😍💜,4,0.0366,likely authentic,positive
loveleliffe,Wallah je mange plus😂😂😂😂,1,0.0027,likely authentic,positive
baneenstars,Prettyyy❤️,386,0.0,likely authentic,neutral
asma_khalil_asma,😍😍😍😍😍,31,0.1727,likely authentic,positive
elkhotifa__,❤️❤️❤️🔥,15,0.0129,likely authentic,positive
tania_dudu,😍😍😍,7,0.094,likely authentic,positive
nermine_sfar,😍,15,0.032,likely authentic,positive
chahdgharby,❤️❤️,2,0.0238,likely authentic,neutral
benahmed_maysaaa,❤️❤️❤️❤️❤️,3,0.0102,likely authentic,neutral
kemyalawzi213,❤️❤️❤️❤️,3,0.0163,likely authentic,neutral
yadel9076,😍😍❤️❤️❤️❤️,1,0.0124,likely authentic,positive
sindrellasandra,😍😍😍,1,0.1171,likely authentic,positive
sameh.abid.7,❤️❤️❤️,2,0.029,likely authentic,neutral
azza_slimene_fan,Cutest 😍,1,0.0108,likely authentic,positive
epznouda,❤️❤️,1,0.0248,likely authentic,neutral
aymen_gatgout,❤️❤️,1,0.0248,likely authentic,neutral
zaouali_ahmed_officielle___,❤️❤️❤️❤️❤️❤️🔥,2,0.0076,likely authentic,positive
sabrinafti,Wooooow so proud 🌟❤️❤️❤️❤️,3,0.0377,likely authentic,positive
nadim.habassi,👌🏻❤️🔥@azzaslimene,1,0.005,likely authentic,positive
rodaynanasser,What an inspiration ❤️❤️❤️❤️,0,0.002,likely authentic,positive
cedrichaddad,🔥😍,2,0.0396,likely authentic,positive
alvarogracia,💕💕💕,3,0.0364,likely authentic,positive
thew_lifestyle,🔥🔥🔥,1,0.0716,likely authentic,positive
razanejammal,😍😍😍,3,0.1089,likely authentic,positive
sofien.hair,🤍🤍Thanks @harpersbazaararabia and to the team 🤍,1,0.0004,likely authentic,neutral
besbes.ali.off,Owwww cute j'adore 🤍🤍🤍,0,0.0034,likely authentic,positive
ul_boss,Stunning 😍,0,0.0084,likely authentic,positive
nourbozz,LOVE🩷,0,0.0122,likely authentic,neutral
souhad_lovesyou,Jadoree😍,0,0.0099,likely authentic,positive
marieferrandini,Beauty 💘 @azzaslimene,0,0.0033,likely authentic,positive
nadim.habassiprive,👏👏❤️🔥Magnifique,0,0.0062,likely authentic,neutral
drayx_18,Top,0,0.0164,likely authentic,positive
najlabenabdallah.official,❤️❤️❤️,79,0.0015,likely authentic,neutral
med_mrad3,😍😍,70,0.0039,likely authentic,positive
ilhemsghayer,❤️❤️,12,0.0159,likely authentic,neutral
aminabdiri,🔥,17,0.0264,likely authentic,positive
saffron,❤️🔥😍,17,0.0075,likely authentic,positive
manissa_lobna_officiel,Divaaaaa 😍😍😍😍😍,101,0.0022,likely authentic,positive
passion__fruits,❤️❤️,2,0.0238,likely authentic,neutral
tassnim_hassane_,Youuuuu ahhh😍,2,0.0768,likely authentic,positive
sabrinafti,Kombla 🔥❤️,5,0.0089,likely authentic,positive
mnassrisouha2,😍😍😍,1,0.1171,likely authentic,positive
dakernwechri,😍😍😍,0,0.1213,likely authentic,positive
khalil.nouir,911! ❤️‍🔥,12,0.0061,likely authentic,positive
nesryn_belkhyr,هذي لا تمثل المراء التونسية,169,0.0,likely authentic,neutral
soniaa.abdelaziz,ديفا 😍,3,0.0106,likely authentic,positive
s_a_n_a_c_h_a,😍😍😍,5,0.1012,likely authentic,positive
werfaly_2011,❤️❤️❤️❤️❤️❤️,0,0.0114,likely authentic,neutral
zaine_zizou,I love you azza❤️,0,0.0048,likely authentic,positive
brrokikoki,اللهم خصر عزة سليمان 😍😂😂😂,0,0.0027,likely authentic,positive
ghassen5751,Ye5i berasmi Eli 9alou samir el wafi 3al blanchissement d argent mte3 el cocaïne !!!?,0,0.0,likely authentic,positive
mariemgamalartiste,@penalcourtinternationle,0,0.0028,likely authentic,neutral
mariemgamalartiste,@societegenerale,0,0.0055,likely authentic,neutral
mariemgamalartiste,@urssafofficiel,0,0.0064,likely authentic,neutral
yadel9076,❤️❤️❤️,0,0.0397,likely authentic,neutral
samir2388samir,الحمد لله ❤️,0,0.0069,likely authentic,positive
mikeamiri,✨✨✨✨✨✨,0,0.3348,likely authentic,positive
stefania_cristian,❤️❤️,0,0.0258,likely authentic,neutral
omar_titch,😂😂fehma 9asid il 8onya we2ila le???😂😂😂😂,0,0.0009,likely authentic,positive
jelassinaser,🔥🔥🔥,0,0.0744,likely authentic,positive
yakounaaa_540,Ma7laik n7bk barcha love you,0,0.0017,likely authentic,positive
mariebladt,👏👏👏,2,0.041,likely authentic,neutral
_urr_mariem_,👏👏,1,0.0446,likely authentic,neutral
ayman.afti,🙌🙌,1,0.0412,likely authentic,neutral
noplasticinmysea,👏👏👏👏,1,0.0376,likely authentic,neutral
yoga4kidsparis.bymc,👏👏👏💙💙💙,2,0.0329,likely authentic,positive
carole_naturo,"It's crazy how a few years ago, these were just assumptions following increasing fertility problems, and now we're starting to have evidence: wow! This documentary is important to advance these discussions and ensure that these are no longer just assumptions.",2,0.0,likely authentic,positive
werfaly_2011,❤️❤️❤️❤️❤️,0,0.013,likely authentic,neutral
carrysomers,Absolutely. We have to shift away from plastics. But let’s not make the assumption that all naturals are benign - see the paper linked in my bio about natural fibres in lake sediment. We need a full picture of the impact of all materials.,2,0.0,likely authentic,positive
islam.samghoun,اعملو طلة على خدمتي،وادعموني بجام،نحب حسابي يكبر بش خدمتي يراوها الناس💐😍🥰❤️,0,0.0,likely authentic,positive
piroskasz,Et quand on va condamner les industriels qui fabriquent les plastiques à indemniser toutes la population de la terre?,0,0.0,likely authentic,negative
malek.trabelsi.7737,اختك سيبت علينا قوحبها في الفينات في كليب حاحا وتوا جاية انت مش تاخو مشعل عليها وتسيب قوحبك عيلة مسخة متع ملاهت بين فيديو تيك توك عملتو بعد بلعه يا مسخة تسكر في العواشر,0,0.0,likely authentic,positive
marwa_agrebi_,😍😍😍😍,28,0.0161,likely authentic,positive
najlabenabdallah.official,❤️❤️❤️🔥🔥🔥,9,0.0089,likely authentic,positive
elkhotifa__,❤️❤️❤️,2,0.0552,likely authentic,neutral
khaleejit_trends,😍😍😍,1,0.1171,likely authentic,positive
chikh_9adourofficiel,❤️❤️❤️,1,0.0302,likely authentic,neutral
salahsehli1,❤️❤️🔥,1,0.0133,likely authentic,positive
___clara___14,😍😍😍,1,0.1171,likely authentic,positive
mabrouka_diary,Goddess 🔥,1,0.0087,likely authentic,positive
manissa_lobna_officiel,😍😍😍😍😍😍😍😍,2,0.3781,uncertain,positive
yadel9076,😍😍😍🔥🔥🔥🔥🔥🔥👋👋❤️❤️❤️,2,0.1117,likely authentic,positive
fadwa_aouinett,😍😍😍😍,1,0.0442,likely authentic,positive
sulafa_abdullahh,😍😍😍😍😍,2,0.4053,uncertain,positive
ro._.naa._.04,I love you ❤️,1,0.0061,likely authentic,positive
lalibi_87,Very beautiful 🔥,1,0.0048,likely authentic,positive
medmrad_official,🔥🔥🔥,62,0.0072,likely authentic,positive
azzaslimene,🔥🔥🔥,132,0.0004,likely authentic,positive
ahmed_landolsi,بالتوفيق سوسن ❤️,157,0.0,likely authentic,positive
ramygamalmusic,🔥🔥,24,0.0193,likely authentic,positive
abdeddaiem.fares,Le feuuu 🔥🔥🔥,137,0.0,likely authentic,positive
rymriahi,🤲🤲🤲🔥🔥🔥,42,0.0072,likely authentic,positive
donia_fekii,Can’t wait✨,77,0.0004,likely authentic,positive
aminabdiri,❤️,4,0.0172,likely authentic,neutral
faycellahdiri,🔥🔥🔥🔥,32,0.0144,likely authentic,positive
jihene_atypik,❤️❤️❤️,21,0.0136,likely authentic,neutral
lamiaamri.off,🔥🔥👏,22,0.018,likely authentic,positive
yasbouabid,Good luck 💪🏼,44,0.0012,likely authentic,positive
elkhotifa__,❤️❤️❤️❤️,7,0.0267,likely authentic,neutral
elkhotifa__,⏳⏳⏳,8,0.0567,likely authentic,neutral
elkhotifa__,🔥🔥🔥🔥,2,0.0884,likely authentic,positive
azizos_chafchaa__,😍😍😍,55,0.0144,likely authentic,positive
roumaiissaa_rourouu,Une beauté Azza ✨,50,0.0006,likely authentic,positive
aya.brahiim,In loveeeeeeee😍😍😍,6,0.0503,likely authentic,positive
elkhotifa__,❤❤️❤️🔥🔥🔥🔥🔥🔥🔥🔥,8,0.1642,likely authentic,positive
daellafd,An actual diva 🔥,2,0.005,likely authentic,positive
photographe_dali.joke,🔥🔥🔥🔥🔥🔥🔥🔥,1,0.3231,likely authentic,positive
_maryem.girl_,😍😍😍😍😍,0,0.4251,uncertain,positive
abdu__ben__,The princess🌅❤️,1,0.0054,likely authentic,neutral
nour_ashami,😍,0,0.0608,likely authentic,positive
med_aziz.star,A star always lights up on us 😍,1,0.0014,likely authentic,positive
yesmin___hleili,😍😍,1,0.0614,likely authentic,positive
aycha_fadhlaoui,La plus belle 😻❤️👸🏻,1,0.0042,likely authentic,positive
takwa__boujallabia,Jennie ~azza❤️🔥,8,0.0041,likely authentic,positive
w__on__ni,Girl you have a good taste,4,0.0018,likely authentic,positive
chayma_mandhouj,💋🔥❤️😍,1,0.0156,likely authentic,positive
authentic.tunisia,ستناو الغناية اتو تولي دزيرية 😂😂😂😂,271,0.0,likely authentic,positive
_farah_bm_,نهاية ضعيفة برشا… برشا حلقات مفقودة.. شخصيات زايدة… قمر وين ؟ الصحبي وين؟ كلود وين؟ يامنة وين و علاش تحلت قصة عايلتها اللي ماتعرفهمش ؟ الام اللي ربات و كبرت و تعبت و حبتو حب الهوس نكر فيها و ماوقفش بجنبها … ناقص برشا تفاصيل….,642,0.0,likely authentic,neutral
mayss_harabi,L5weeeetttt🥹🥹❤️,2,0.0054,likely authentic,neutral
tunisiamallofficial,الخلاف بين الإخوة ما يفرقهمش… يقويهم 👏❤️,344,0.0,likely authentic,negative
cuisine_docteur_hala,محلاهم الخوات ❤️ ربي يفضلي خواتي,302,0.0,likely authentic,positive
baccar_mouna,نهاية خايبة الحقيقة  شخصية خديجة تبدلت في لحضة اللي كانت متسامحة و طيبة ماحستش حتى بولدها اللي يبكي على اموا ...,88,0.0,likely authentic,neutral
sahar_thim,عندي سنين لا تبعت مسلسل لا بكيت عليه …. مسلسل هايل 👏❤️,60,0.0,likely authentic,negative
affrahbenamar,نوردو حسسني برشا نحسو قام بدور الخو الكبير بإتقان,34,0.0001,likely authentic,positive
islem_jerbia,الاخوة😍😍😍😍,166,0.0,likely authentic,positive
r_a_t_h_w_a_n_,نهار اخر تولي اغنيه الطزززير ههههه 😂 يقولك متاع عناية منكوبة ههههه 😂,7,0.0006,likely authentic,positive
sarah_ben_jaafer,لحق اكثر مشهد بكاني لخوة نعمة و انا خواتى روح متعي❤️❤️,17,0.0001,likely authentic,positive
am.aniaziza,محلاها لقطة هاذي 😍,117,0.0,likely authentic,positive
rahma_depot_vente,Fel la9ta hethi wallit nebki 😢,205,0.0,likely authentic,positive
anis.lmouaci,❤️❤️❤️,51,0.004,likely authentic,neutral
henda.gharbi,محلاهم الاخواتات نعما من عند ربى,5,0.001,likely authentic,positive
